Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
26410,27,8011,340,12115,168
18584,27,5328,228,5653,227
12541,48,8160,117,13801,26
8981,21,6876,384,12050,149
10246,29,7558,337,6866,456
21478,46,2016,426,14674,315
16132,30,3603,161,14019,87
16046,12,1760,221,8950,93
5179,30,2831,474,11895,29
2945,14,5083,317,10272,296
27851,34,3867,457,9276,460
29561,48,7789,345,13580,441
3637,43,8608,368,12913,258
21904,36,7226,126,12240,384
12170,25,9766,85,6185,301
29055,41,2470,122,9675,76
18921,49,8973,84,9790,37
14973,21,9056,328,7156,265
16071,14,7123,244,13233,262
15910,19,1617,499,13623,155
7925,20,7858,59,7178,253
16666,26,3416,106,10965,374
29725,18,4132,129,4530,190
2344,32,6953,433,11228,125
3832,24,6544,59,13845,280
19949,21,6948,81,8110,453
14550,19,6798,139,5549,6
16426,25,4570,431,4273,144
2243,15,3544,406,7833,333
5987,39,5195,107,13252,143
20531,47,8810,387,11399,103
15612,30,8165,335,12187,332
19033,13,5789,403,13414,44
16222,37,1670,414,5113,272
12771,20,8717,149,14475,95
2188,37,8048,371,4550,177
14556,18,3684,223,8285,155
29176,21,6393,404,5555,316
3298,14,1277,283,6254,129
26642,23,3096,117,10850,436
21195,26,4138,261,8700,26
8484,26,2408,52,4874,372
27758,44,2782,271,14177,135
9268,34,1006,487,10167,314
19992,37,7512,430,11635,488
19396,16,6349,148,4194,265
13422,34,7237,320,12869,38
6641,17,2679,370,7214,289
24999,37,1357,224,12717,311
23984,40,4392,409,14948,58
6046,48,3848,434,12441,138
4233,46,4727,461,12211,135
13493,33,1784,295,5896,112
15527,15,2260,452,9782,421
25702,20,3874,226,8677,41
27168,24,7250,215,5339,279
29916,30,6386,63,9331,221
15994,47,6248,200,8725,5
12304,36,8243,209,13060,310
28072,47,9783,189,5572,128
11710,29,8195,361,7665,482
3451,43,4179,390,12984,241
18629,18,7118,337,4347,272
26476,48,5668,204,12384,289
21296,35,2059,230,6866,153
13715,28,7239,494,13515,440
10104,22,9332,359,5080,254
29954,38,4436,450,4565,53
3109,14,3673,438,10411,326
9464,46,9463,444,6322,497
27595,38,9251,431,5182,132
23340,49,9706,145,14939,27
20249,13,7053,482,7352,74
19351,36,9519,137,12439,457
23172,45,9818,401,8425,53
9735,15,3457,270,8729,472
5891,12,1931,172,5999,55
7875,38,3659,159,12768,54
24989,37,1198,200,7937,237
26184,20,8000,168,10185,408
21648,22,4694,498,10508,31
18383,23,8193,350,5787,118
13683,24,8864,351,14181,48
3704,40,3856,255,11730,158
25837,12,3572,352,7559,188
24359,47,7423,88,12226,164
4077,29,7686,430,5245,358
4209,24,2929,397,6371,261
22238,15,7865,204,10227,33
24373,47,5573,353,12755,420
10974,21,8405,220,8498,455
3570,14,7514,181,9077,35
18810,49,9320,365,9042,199
11908,15,2925,282,7183,198
11397,39,5081,255,8155,291
28764,15,4649,360,12447,215
22425,45,3091,482,5016,462
5048,45,4860,368,5421,289
4577,40,3233,237,11076,396
27946,35,5972,362,13975,293
3576,31,7368,388,10010,90
8840,10,1201,253,14354,270
29956,32,2268,471,10465,287
13504,26,8393,182,10572,276
22048,43,4983,487,4528,257
23771,44,6642,478,10835,225
5608,49,6141,353,11819,249
8482,11,4297,113,13033,281
21503,38,8711,367,8626,177
21391,23,8043,384,7715,452
22720,39,4419,476,4693,313
2717,41,6612,324,9179,316
20725,29,4554,466,11795,251
5665,24,1118,298,13097,282
6309,31,1954,344,13788,106
6959,16,2386,405,6216,239
21289,18,4490,178,7826,7
26771,15,7597,151,7065,115
23826,15,9860,383,5740,94
17547,13,9681,121,7376,266
28496,37,5860,449,9334,266
26832,28,7463,271,7358,352
8823,19,3367,481,14508,411
14022,46,3969,477,4363,26
6901,37,9802,53,13662,351
10062,19,7730,304,12305,147
22288,25,3293,163,13776,448
29824,11,9684,122,4479,69
25671,39,9069,70,14026,17
24790,45,9250,496,5787,71
12102,13,1681,348,9327,237
18208,14,4650,258,10769,215
23535,25,1010,327,4345,153
23915,14,7536,274,4453,131
12756,24,2390,51,6639,17
25359,29,6683,61,7313,117
16367,13,3950,272,12108,198
11805,19,7250,321,12404,285
6245,33,7570,425,10234,450
12643,43,9168,309,12628,458
2030,43,7987,315,7257,58
12783,43,4750,77,12365,332
28025,29,1506,303,9740,189
28225,46,8582,470,7637,410
7591,15,4437,163,12829,275
27141,28,3895,64,7230,485
3162,30,8059,258,14597,56
3835,43,7862,52,14936,188
4594,16,1329,413,14259,417
3207,44,8735,204,6529,397
18456,10,1963,122,14273,417
19944,20,8680,250,8546,155
18364,35,9183,263,5239,326
12435,40,4772,434,9039,263
10487,43,7714,161,4320,169
12092,38,6542,101,12596,21
29579,34,4597,452,10247,417
22073,15,3723,302,9370,353
6048,36,3397,148,8832,414
5253,44,7848,444,6141,236
15914,33,7218,95,9708,235
5290,25,2789,475,5836,313
27977,33,6073,318,11384,355
27625,39,1232,497,12627,158
24515,31,1545,499,8295,454
5306,29,1979,434,5966,271
14003,16,6160,279,11246,346
3380,11,4428,362,12821,240
15606,23,6397,376,9615,85
3473,19,5678,398,14036,366
5748,22,7119,327,4150,292
21115,19,5002,445,11180,499
10959,24,5440,79,11022,222
13937,38,6617,399,14621,435
24353,34,2546,463,8118,443
20937,44,5388,450,13027,265
11483,37,6009,57,13765,42
9576,40,4283,181,14839,37
15852,15,6828,201,11566,165
25847,37,1501,281,10668,490
18314,40,8308,78,8877,294
11297,26,6242,229,4508,168
26116,10,3271,377,14242,353
9240,35,2307,216,10917,287
21347,36,4875,220,6009,22
27103,42,5465,390,5265,38
10229,39,8723,209,13320,151
10331,27,2531,258,9506,434
26971,40,8521,365,14756,105
20351,47,1342,168,13287,492
19851,48,8893,50,13557,54
9633,47,6424,213,11011,148
4701,34,8317,421,11946,430
9122,41,2082,396,8544,44
8233,23,9837,60,9013,330
22499,25,6747,62,10885,397
9936,22,6160,405,13032,67
19882,30,4393,281,13806,478
9177,46,1799,235,4637,45
7454,45,2311,281,9785,53
3078,48,2917,135,9837,498
19731,12,7148,483,12607,94
15999,42,1372,363,6664,128
18502,11,1055,407,7568,97
24631,22,6996,453,4713,93
26342,12,9065,497,11216,43
12837,45,2453,230,5726,258
7809,17,4859,160,9895,308
26330,43,5276,489,10598,459
29513,20,7107,78,11096,54
9749,48,8449,164,7934,235
13428,49,3004,367,4898,33
29683,48,2855,485,14339,80
21954,15,9313,300,11265,398
11626,44,2769,482,5502,185
15083,28,1848,240,4110,386
20782,32,8077,407,6319,351
9847,40,3129,344,12212,34
2779,17,9009,432,4573,107
7526,33,5157,472,7350,219
23481,38,9444,379,10072,51
9662,49,3371,380,7595,353
13176,40,6034,356,6828,28
14037,29,9848,431,8480,102
26578,38,8236,283,6844,210
11259,10,8840,315,8609,329
14439,43,6937,457,13989,271
23064,31,5054,102,12212,147
19202,44,2991,67,11718,84
19487,14,7992,342,5935,20
19600,46,3619,221,13804,416
27783,25,1801,198,8928,229
29025,40,1019,78,11344,239
8126,12,4607,84,12622,389
16420,49,3119,163,4601,220
14144,29,4592,83,9873,314
19788,30,1505,135,5083,89
23588,28,1545,346,7968,212
6156,49,2158,127,7120,197
17279,26,9623,242,9688,334
8738,15,1405,223,12349,292
11573,42,9950,482,6797,126
24810,29,7256,333,9621,309
4629,10,2739,167,7920,90
17625,14,1688,412,14030,266
17505,24,1364,106,11051,330
11169,47,2235,458,6843,368
23507,27,6063,207,10404,422
28104,30,8001,361,13900,233
13924,25,8839,70,12082,185
15870,29,9259,330,13413,26
24549,40,4898,228,12510,17
25703,36,1037,90,6519,369
3633,23,5474,187,7572,385
16032,37,6275,211,12198,370
12836,28,3503,259,7954,55
5329,21,1028,263,9087,412
25822,32,7832,164,8700,211
23376,28,2988,227,9954,201
4427,29,7233,394,4193,265
8365,18,5555,275,10025,475
7564,38,5509,174,11153,268
2672,13,9939,63,6617,25
4196,38,4138,151,9610,39
8257,16,7038,453,12389,366
6596,18,4735,335,13235,333
22880,26,5477,293,14865,173
22962,37,7797,400,7351,452
2099,21,9657,316,14709,342
19823,21,3821,58,11146,247
9708,46,3081,189,5801,355
14822,40,1655,390,13397,113
17985,16,3428,448,4673,32
27358,13,7878,487,6541,352
13014,15,6604,394,8274,412
16118,31,1534,434,10910,26
24135,31,1798,327,14008,393
16412,44,7779,412,7376,6
4686,39,4833,300,8930,381
18034,47,8110,376,7257,38
15619,28,5510,352,11987,27
18790,48,9693,349,10688,163
22141,27,2739,149,9146,209
11356,32,4696,321,7439,346
2452,44,7341,93,10249,254
20475,33,4975,177,5541,408
24119,43,9877,411,12944,177
11323,12,6275,237,5753,204
29670,42,3426,440,9941,242
18625,40,1374,257,9587,261
21793,43,2907,110,5293,186
21842,32,8854,274,6352,237
3090,14,7000,429,6406,293
7872,48,9893,306,5506,231
17089,45,5619,177,6142,274
19200,40,7316,235,11609,157
6812,28,2420,247,5655,414
28950,13,9660,411,14827,109
28149,26,2410,160,5804,332
8350,25,6441,403,6281,346
26441,34,4719,53,12542,356
20340,14,1302,398,6568,70
18531,23,4322,468,8716,171
8625,27,3825,260,6357,213
23542,17,5858,102,5475,412
16371,10,2324,341,7726,380
12092,34,5948,145,5540,335
28701,16,9018,228,7703,54
15676,43,4584,191,7879,124
15240,45,5097,106,10129,499
4755,41,6424,410,10616,368
20234,20,1445,279,4852,156
11798,22,4224,428,11001,271
11475,29,6862,67,6521,366
21832,36,9438,136,5013,41
10516,34,5141,249,12009,431
23291,48,5839,397,14377,438
6394,20,9504,197,4171,237
19281,26,6481,451,4043,15
10630,28,2807,169,14316,455
16188,49,7613,437,8717,344
4660,40,1593,467,12599,82
8129,46,3947,335,14026,414
16416,39,9927,359,6737,108
4222,14,3765,109,6457,470
23164,18,4334,72,11161,353
12761,42,1373,449,8722,373
6986,28,6056,275,10735,246
27587,41,7686,388,11432,255
26558,31,1773,440,5439,78
16684,30,1030,213,12033,364
23873,13,5037,135,6915,473
4294,36,8143,127,11475,189
3892,41,1865,481,12395,168
25691,15,1967,323,6351,418
29441,14,4292,395,13723,310
27509,27,9628,255,8450,266
12929,17,5068,169,11533,477
23633,25,1488,303,5277,298
20880,23,4476,350,9618,215
22455,49,5487,230,7589,312
27231,21,2643,187,10857,251
3593,37,4089,456,7416,46
11975,21,7278,397,11154,387
16308,35,8867,411,7232,298
7380,41,1750,215,8841,9
20147,41,8760,204,9924,400
19968,20,6581,136,5005,326
23423,35,3506,444,6750,245
6140,40,2732,69,12955,276
17228,15,4880,386,9688,45
4274,34,5297,65,6731,126
4141,24,1438,284,14499,131
29476,24,6300,69,11163,235
8122,33,9628,385,11583,84
27117,31,3872,378,11772,419
27804,16,6434,264,9068,336
12354,26,8603,381,5523,5
2348,33,1347,421,14903,197
26181,28,9866,488,5383,82
21809,31,1121,366,13680,478
25386,43,6256,168,11125,196
11590,31,2037,495,14303,254
19221,28,8919,58,4785,324
14686,10,3256,371,12501,289
26472,43,2007,427,11112,406
23874,15,6590,83,5127,448
8439,18,3063,303,14274,180
23968,38,1210,263,8551,103
3736,45,9606,268,13337,433
10265,18,4696,384,6615,264
18890,24,9406,352,5252,486
12069,39,3919,143,10910,121
2945,39,8293,63,8545,411
19659,29,3037,460,5101,407
6100,24,8889,363,12773,256
15328,31,6229,261,8221,83
15407,13,9977,65,4270,168
19761,25,8511,325,5733,380
16651,31,9448,427,13988,146
10415,46,5981,305,11383,67
2788,33,1894,252,4221,385
13998,10,4144,73,12415,25
27816,26,4684,129,13323,430
10282,12,3497,365,4921,448
15852,43,1452,368,11820,335
26394,36,1209,163,12693,341
27916,19,2560,475,5880,130
7984,47,1044,176,6219,214
13661,14,1724,120,10214,299
24318,26,5464,308,8757,435
17093,34,6503,316,8304,228
14055,28,7894,285,12283,494
27418,31,5083,126,8824,264
13043,22,4428,58,13226,165
22666,10,2760,252,9722,171
7978,44,7656,483,12098,317
21980,32,6061,454,10446,471
24836,40,5871,466,7171,235
21866,29,9765,247,5295,452
18713,43,6252,475,8173,196
23749,43,2626,285,5933,222
8903,46,1464,345,8613,35
16013,35,5189,306,13449,74
24596,33,2858,58,11726,429
11887,46,1115,335,6896,387
21093,11,9187,442,13841,443
23433,25,3971,259,12847,89
22311,35,8887,199,14016,203
25278,10,5386,140,13908,145
17358,36,6248,187,7492,416
22446,25,7561,454,9834,131
2119,23,1447,143,5928,229
17786,45,6930,77,10226,134
8231,16,2856,465,7962,297
16247,38,6554,371,5548,13
16919,41,4922,124,5484,426
11636,33,1215,55,4089,392
9399,36,1665,456,7706,292
28384,11,3961,202,12861,441
3905,14,2639,492,9668,99
18850,10,1129,216,12716,457
5639,46,2778,219,10347,16
15418,31,1753,97,14891,417
16761,17,2002,415,13259,199
14552,44,3016,163,14455,129
21033,39,1694,451,4015,56
12707,28,6915,366,11807,195
17734,20,3360,281,10083,198
10466,40,4346,273,9342,413
15233,29,7098,369,12273,408
19542,10,3370,406,9068,499
28274,35,6667,177,7267,278
15766,38,8330,267,12122,396
29249,24,8126,77,5628,100
26182,13,7253,266,9443,401
3598,14,4774,282,12518,313
2110,22,9675,301,6959,157
26309,46,9000,443,8677,482
22399,40,6300,313,5135,345
27463,46,8150,410,7179,75
18550,41,7480,282,5163,123
16681,30,3479,435,10355,160
4342,11,3594,193,11176,180
25499,40,2216,64,12290,330
12910,18,6913,301,4872,56
9114,25,4010,217,7290,280
15286,28,6945,351,4987,315
15427,35,2360,413,13039,50
3450,21,8714,331,12492,120
4394,21,9192,73,6013,281
3329,12,5276,140,10947,488
4984,26,5985,250,9880,428
25655,32,5450,103,6193,466
10050,47,9611,472,13444,377
15073,24,2264,430,14193,452
28768,33,4569,311,13806,169
21489,10,2520,344,4846,498
17762,16,2078,97,5594,44
12743,16,4893,59,4748,344
4047,28,1185,277,4776,429
15337,15,3754,61,11561,108
29543,26,8100,480,6290,389
7754,23,9904,161,8076,101
7715,19,9584,411,14774,319
17824,33,9038,385,6484,339
22537,13,6763,275,9860,222
17631,33,2033,200,8668,405
2025,17,9508,258,10019,186
5711,32,8957,223,5627,87
14754,28,8994,107,4898,261
7996,29,3059,143,4613,226
5792,15,7850,73,6558,413
16185,37,2060,266,4139,31
22298,39,4233,165,9928,431
22404,23,3197,175,14953,234
14229,32,2943,156,13727,147
6406,18,5539,184,11348,447
21659,28,3297,337,12849,347
12749,45,4316,202,7946,350
10499,39,3566,125,11785,447
27791,18,6526,435,5172,182
4031,30,6181,151,14756,470
18815,36,9531,263,7521,184
13388,15,9075,488,14502,242
20054,20,6706,69,4420,34
13347,42,4688,251,11744,60
2228,45,4901,281,12321,125
17816,40,5115,395,8989,477
19765,13,5317,231,6037,174
22168,27,1038,425,12670,364
17226,12,3207,169,13286,385
16428,18,4697,364,4177,452
13214,24,8156,140,8393,237
29071,28,2557,163,11723,404
29855,40,3863,318,12676,271
4870,12,4306,84,4870,388
18517,15,4478,71,12562,347
3810,22,4079,194,13791,303
13911,28,7980,319,5043,398
26752,10,1929,325,8770,471
10989,37,3355,479,7635,343
12419,28,1782,470,5468,313
14720,34,2182,419,10753,169
21902,22,5510,407,5870,208
3946,21,6666,206,7896,137
28960,20,6535,228,5931,231
13688,33,3369,165,11423,390
15517,32,7460,82,4817,497
12495,21,6170,223,9028,197
3924,39,5345,493,11208,183
15975,40,7572,478,7036,439
12685,36,8496,413,8216,434
17711,31,1700,324,8912,143
23151,11,5871,426,5466,99
24448,16,4295,165,5818,5
15103,12,3864,383,5692,189
22383,34,3299,182,14218,82
28036,48,7863,262,5078,289
6684,46,7391,178,12170,13
25420,16,3868,79,8026,347
9667,32,9897,421,5425,160
15022,34,9147,316,10362,417
17388,36,8613,238,8031,396
21374,46,9052,225,4864,482
7461,45,8147,482,9926,13
8962,14,8901,225,5400,128
23354,18,6442,150,5541,219
13690,41,7329,490,10980,142
5349,34,7979,251,6559,410
27066,37,9268,464,8060,236
4165,26,5027,372,14830,489
12450,21,4951,141,10273,407
16143,26,2423,64,4614,281
27686,14,4345,333,5736,186
10096,35,3927,134,8379,431
5116,18,5580,333,6911,461
4497,35,4778,253,12610,164
12606,39,2806,323,12934,134
15364,43,6691,439,11380,48
24710,28,2037,451,14756,100
24886,27,1493,259,5521,209
20544,26,7858,369,6313,366
10976,35,9882,419,9556,120
9198,31,2758,242,13999,190
10020,13,5894,108,7325,23
8551,23,5819,292,7596,281
4883,42,9769,239,5502,364
29875,44,8817,181,12385,277
16865,10,6245,301,8138,77
13965,23,6342,284,9553,41
15700,11,9276,192,7965,242
23865,12,9430,266,11755,98
10807,31,7431,464,11636,309
18498,34,2934,157,5565,390
19242,46,9945,298,6919,241
17312,28,7785,62,7460,213
20589,42,8988,264,4471,371
10985,11,6574,114,11088,198
23315,20,7094,374,13405,353
23846,13,7550,296,14202,487
20346,37,3378,378,5283,203
7675,38,2433,263,8773,249
8426,18,6509,457,7850,408
19758,47,8787,59,4130,336
10023,23,4123,184,5521,157
15675,15,1960,487,11062,343
23934,25,8241,498,11198,297
19647,18,6082,180,10070,174
26139,26,2246,426,7580,451
16720,31,9505,179,14098,168
23505,13,8743,105,5438,376
25051,27,1504,172,10629,409
10458,26,4732,456,10823,337
15964,26,7889,357,14752,68
7682,11,8226,480,12631,380
14404,16,1623,407,13951,481
5006,29,5929,284,9369,356
13903,32,6865,184,12244,274
13461,14,2352,309,5012,249
16816,26,9517,389,8064,33
27240,32,6951,93,9402,478
18500,32,6240,274,12696,459
20621,23,9220,199,4932,127
22848,37,4602,420,12375,173
28535,31,3474,193,5484,107
10007,31,9968,105,6344,122
17652,38,7074,53,11821,469
21052,34,8290,264,4826,291
25667,15,9206,59,11097,431
28067,42,2214,496,6340,8
16917,43,4743,392,8799,329
3324,36,6914,224,5149,464
11064,48,6170,326,5320,379
2090,19,5059,288,5459,336
15495,35,3885,180,8291,259
10813,30,1570,408,12674,103
18791,40,8316,62,6653,473
25656,32,8197,349,6135,79
20960,33,4737,187,7612,418
12001,37,3620,274,11134,63
15085,10,5186,367,8880,402
13544,49,5742,231,9212,320
21812,12,8877,482,10616,242
24534,32,9490,156,10530,79
17858,46,1620,445,8035,65
19284,22,2477,472,9912,243
29055,25,8310,157,10533,205
2603,43,5539,154,12190,286
6154,29,9273,248,12033,460
10323,12,8073,327,9602,340
19967,31,3686,308,4907,413
21548,14,4304,52,5682,440
15082,37,8289,153,8155,282
23075,47,4682,91,12107,445
8600,28,6006,102,14774,350
17840,27,3538,255,9496,12
12648,17,7383,312,8105,400
5876,24,1132,411,13825,210
4370,26,3887,437,7596,429
19500,19,6120,228,7868,451
25142,34,2858,128,11086,349
10511,46,5813,488,13142,420
2942,25,4260,196,7464,117
9658,32,2509,368,5286,275
26962,44,4614,332,7591,467
16971,16,2202,447,13722,20
2345,30,2619,285,9239,203
29603,34,3930,311,14163,285
25441,33,8861,347,9460,488
27726,40,6146,174,13224,191
16558,20,8980,109,8397,383
2303,49,6586,204,14774,449
12368,31,2877,261,14086,362
15707,26,6234,365,13429,253
7717,22,3482,262,12999,169
25662,25,4466,464,8977,58
14551,13,9224,477,8376,281
12468,16,2985,470,14768,147
13333,38,5522,103,4392,162
24351,28,3482,218,6980,381
6914,21,9408,305,13386,43
13788,33,9034,302,11499,166
18462,24,8838,86,6959,194
17594,16,9002,136,4531,102
6961,16,8366,278,14989,482
19635,45,2705,63,14713,325
21431,46,7270,345,12092,293
5099,31,3426,474,13245,316
4945,45,8304,478,5426,188
28285,31,2799,373,4442,120
21334,38,1103,495,5391,207
12429,48,1289,319,13563,71
28608,23,9536,445,7496,323
16498,29,5246,113,9970,74
22635,42,4008,499,5962,460
14671,38,6825,300,7232,406
6818,25,4799,128,12713,376
7276,19,8686,350,13459,365
21508,13,9071,301,4406,477
8662,20,6357,188,8427,111
16698,38,8545,268,7521,134
6936,34,4500,216,9873,382
2521,37,6306,100,11287,465
8418,37,3714,446,4889,273
9610,35,4002,198,6259,224
3573,33,2773,436,7047,404
19913,41,8809,302,8874,37
19438,21,9014,349,11118,388
21958,47,1601,70,8598,252
9569,48,1379,360,6632,475
12145,19,1631,190,8189,321
11679,11,4885,121,5166,65
11265,39,1192,126,9029,286
24338,32,8482,437,13870,266
3910,17,8470,78,6889,247
7507,13,2298,491,14170,251
3462,39,1428,256,14415,75
28461,13,5128,159,7470,189
12773,36,1209,334,10463,77
8214,31,4202,466,9873,306
25185,16,4090,478,7752,202
20848,41,3188,154,13890,186
7220,47,8666,436,11438,285
29815,28,9125,197,4475,67
8280,24,8134,463,13952,352
13525,36,4107,253,4394,202
5173,48,5877,272,5875,358
13821,43,2718,163,14921,178
27663,40,4118,480,12881,233
18202,38,7157,488,5263,164
19560,44,3007,467,4996,310
24152,40,5938,401,6667,316
25549,41,2854,156,9662,351
12090,13,3989,294,9186,362
6494,33,7547,380,5464,163
10859,37,9711,210,4368,153
8003,14,4106,309,4778,102
27135,30,6575,153,5174,111
11007,24,8385,227,11359,52
5370,35,8261,221,11886,35
28279,29,5223,66,5945,30
9917,35,5759,133,8133,106
16912,10,3686,381,12812,100
10036,17,7602,416,6007,467
28614,32,9723,294,13697,117
3403,23,6061,51,14315,347
29383,37,8830,361,6753,100
19209,22,4245,137,8144,382
7311,47,2807,425,7050,13
3326,47,1623,497,11212,124
14045,25,5654,434,6130,361
10466,49,6282,281,13392,138
8155,39,6041,354,6012,306
7398,45,8168,161,9568,310
6907,23,9036,99,6600,376
14518,10,9585,95,10187,287
3122,23,4837,221,12935,156
16505,15,2169,51,13500,102
15471,24,2372,408,5354,188
4613,45,1609,82,5064,386
22843,22,3355,478,5227,66
24975,14,8384,304,4478,188
6281,30,9494,246,13445,43
17982,15,9925,382,10983,231
19573,29,6391,265,12147,240
14292,49,7120,158,9574,89
18535,26,6032,460,6533,344
28683,18,4229,407,12483,305
21211,34,4873,465,9995,495
27945,12,7832,75,5652,283
9662,32,8462,419,13276,435
21524,20,5575,249,12022,482
23519,43,8162,302,4476,46
18290,38,8745,218,5395,127
11580,16,7857,372,8701,310
2420,19,6459,107,14943,74
11264,34,5658,204,7301,324
19465,40,1142,137,10412,226
3983,39,1023,243,12841,369
12651,12,2225,98,14061,468
29078,37,6317,341,7294,36
18427,38,1999,171,11506,403
23717,45,3962,128,11133,415
8361,31,1592,283,13509,489
10593,32,7378,169,14264,14
27909,33,8022,307,11873,243
29852,15,7379,51,14164,144
16785,27,9958,103,4831,314
6644,29,1420,169,13864,423
23041,22,5525,431,13363,233
18477,29,5871,201,7954,337
15190,24,4788,159,6019,395
10179,30,2249,96,14593,210
20086,35,5628,393,8392,448
28253,19,1011,268,6650,233
8761,44,5524,385,4630,81
7429,11,1329,102,7313,490
14012,13,9989,211,6403,245
7655,31,7899,222,13519,380
26633,25,5836,196,12082,54
3438,36,1597,482,5208,386
16846,38,5135,250,10092,145
4742,30,9375,448,4745,470
10173,17,3588,133,4230,442
6572,39,9079,382,5074,37
18129,29,5116,51,11538,425
27808,43,8763,285,12182,333
2003,49,2229,342,12899,495
2849,12,5125,254,11687,108
5745,30,2111,232,10921,89
24891,36,5919,143,13902,449
20746,46,5132,91,12395,21
8603,45,4696,77,13468,383
18290,20,5151,162,7273,315
25745,49,7865,153,5624,332
10728,29,7156,80,8874,107
27764,28,5091,381,11116,389
2941,25,9719,238,6445,426
20638,45,6892,270,13444,64
15142,24,2389,407,4250,46
14814,49,5928,314,14899,108
4940,49,9113,499,5257,474
4069,11,6509,405,5745,99
25479,44,2185,407,8458,77
8101,19,5590,313,5218,41
24325,23,1070,397,7439,237
3279,11,7443,77,4612,236
8957,17,8496,308,5850,335
12574,12,6579,134,6819,74
22519,16,6465,189,13826,468
22920,17,3255,139,13922,126
16367,22,6530,175,13318,370
19362,10,5787,141,10337,60
28075,18,7963,266,5806,101
24469,30,4903,85,12061,15
25813,10,1274,370,4519,364
14726,45,7323,156,12029,328
22757,41,2007,79,13638,161
10405,13,8924,56,7917,368
8866,33,4842,57,13505,111
2457,44,5659,90,14833,89
3361,40,9317,98,6209,334
18386,44,1775,434,12123,425
8618,16,2946,60,14132,60
26186,12,3162,55,11828,132
18957,34,4065,365,8216,92
11508,12,3557,144,7326,138
25749,44,3611,494,12039,411
20172,38,3243,206,8316,369
17393,42,7027,128,10997,355
22784,48,9645,239,5966,427
23264,15,7298,318,8958,17
25722,24,5117,486,8051,450
2266,12,8004,310,8559,191
9084,24,2426,144,7772,206
22085,25,3056,59,14420,444
26454,31,8865,226,7019,257
9424,43,1335,347,4424,392
15777,20,6151,212,7363,178
4399,38,6690,272,7122,333
7793,20,5295,279,8202,271
27905,49,1331,50,14397,195
23151,46,5717,494,4552,66
23932,39,9165,138,8603,18
12088,23,1156,362,11570,474
26903,48,7579,233,5552,379
2237,48,9418,406,4513,34
20751,47,3350,393,4835,379
23863,33,7453,204,8987,356
24768,47,4307,260,10872,114
13076,31,5324,398,7431,387
8052,41,7303,312,8461,243
11529,44,9248,69,13898,469
4054,13,6849,92,7899,281
26476,45,3802,101,4658,319
8625,38,3020,288,8971,491
21477,38,4945,58,4279,379
26692,16,1069,449,8239,20
10776,17,7677,59,13930,192
11820,48,5956,364,12586,177
16835,32,2289,363,14305,461
3998,39,9645,280,5056,482
20102,17,4115,139,12107,418
23214,12,3750,438,4332,112
29425,42,3181,407,11355,326
7687,13,8098,291,11770,153
29090,18,4833,197,8964,404
20885,19,9160,104,11805,125
11362,44,4943,258,14719,19
6055,44,1155,77,11285,417
24627,29,1549,205,9034,373
16435,19,8782,210,12970,480
15273,35,9360,55,6875,95
19655,37,1492,426,9291,120
23377,37,2141,373,8913,287
3674,41,1433,442,14820,186
24206,21,6608,463,9361,394
22094,35,3615,62,6155,437
15101,46,3799,123,13088,190
15681,16,8838,277,5505,377
28259,33,3131,80,14441,87
10719,36,3654,417,6067,300
17902,36,9871,255,4266,287
4518,33,7791,337,7447,396
7641,37,3889,465,14247,63
23222,26,4368,375,4752,218
15495,39,4050,343,9627,163
2583,12,9673,440,12846,467
11207,36,4870,126,9126,30
12835,32,5520,52,9781,280
4109,20,6595,243,8369,205
18437,12,7328,458,5104,219
14267,10,9817,339,5694,57
23506,24,9872,257,9639,13
16554,24,9048,134,5914,282
24290,49,8810,496,9799,139
16326,47,4893,81,9887,331
5452,14,6061,472,7823,443
25456,14,9022,166,5491,186
2609,18,1832,421,9848,129
21610,34,3494,193,5390,399
12558,38,5245,228,11332,337
6419,39,5441,276,9345,299
9246,42,4983,349,8238,402
2836,24,8059,181,14382,244
23904,24,1176,66,12631,374
19717,30,8364,258,9822,50
11487,34,4523,180,12833,220
29062,43,1044,425,6573,409
16810,18,8061,135,4435,435
29937,47,5912,244,7002,139
3183,47,4908,408,4030,182
25454,10,7051,412,8264,34
19714,10,9651,362,7364,455
24567,34,7089,457,12160,169
27786,32,3591,220,10524,402
6872,36,1724,432,11636,115
17045,48,6261,182,12958,143
6564,32,2941,54,7367,211
29249,34,9901,462,9913,411
15449,43,9777,436,9281,39
12651,46,6533,379,4277,233
4601,49,2059,214,11451,141
28109,37,6853,207,9792,21
6428,12,6095,430,10384,427
7123,16,6458,222,14260,246
14258,30,8893,277,6111,78
26402,32,2165,359,14360,69
5901,21,6145,389,8094,425
6130,14,3063,83,10720,66
23821,18,9729,191,7382,375
7342,33,7634,307,5832,467
27642,41,8602,61,5797,384
2260,39,1451,129,9409,367
24410,32,6734,172,14368,80
28135,12,6595,303,8941,260
16166,13,9952,265,13919,247
4919,21,7927,286,8619,213
14286,14,6140,210,6404,159
18345,12,8710,487,12373,279
27560,21,1752,205,7493,10
18052,28,9497,442,12016,198
13351,28,2434,456,14383,492
11841,30,3722,374,4291,426
28074,44,5608,272,10259,240
29286,23,2844,69,14586,43
16542,10,4262,397,10506,20
2209,10,2057,355,4078,400
26088,40,6068,190,8608,321
